Артикул;Назва товару;Ціна (грн)
13-78-90-1;Профіль алюмінієвий для LED LEBRON L-SP-C-2 кутовий матова лінза заглушки кріплення 2м;133.5
13-78-91-1;Профіль алюмінієвий для LED LEBRON L-SP-C-2Bl кутовий чорний матова лінза заглушки кріплення 2м;148.2
13-78-92-1;Профіль алюмінієвий для LED LEBRON L-SP-C-2Wh кутовий білий матова лінза заглушки кріплення 2м;137.1
13-78-97;Заглушка кінцева LEBRON L-CLIP для стрічки NEON 6x12мм;3.3
13-78-99;Заглушка кінцева LEBRON L-CLIP-N220 для стрічки NEON light AC220V 8x16мм;3.9
13-79-00;Заглушка кінцева LEBRON L-CLIP-N220 для стрічки NEON AC220V 8x16мм;10.5
13-79-05;Заглушка кінцева LEBRON L-CLIP для стрічки NEON AC220V 300° 14мм;5.7
13-79-16;З'єднувач LEBRON L-CLIP для стрічки NEON light AC220V 8x16мм;18.6
13-79-18;З'єднувач з кабелем LEBRON L-CLIP для стрічки NEON light AC220V 8x16мм;43.8
13-79-20;З'єднувач LEBRON L-CLIP-N220 для стрічки NEON AC220V 8x16мм;76.8
13-79-23;З'єднувач LEBRON L-CLIP для стрічки NEON AC220V 300° 14мм;58.2
13-79-25;З'єднувач з кабелем LEBRON L-CLIP для стрічки NEON AC220V 300° 14мм;45.6
13-79-48;Кабель живлення LEBRON L-CLIP для стрічки NEON light AC220V 8x16мм;58.8
13-79-50;Кабель живлення LEBRON L-CLIP-N220 для стрічки NEON AC220V 8x16мм;78
13-79-55;Кабель живлення LEBRON L-CLIP для стрічки NEON AC220V 300° 14мм;60.6
13-79-70;Тримач ПВХ LEBRON L-CLIP для стрічки NEON 6х12мм;2.7
13-79-72;Тримач ПВХ LEBRON L-CLIP для стрічки NEON 8х16мм;5.1
13-79-75;Тримач алюмінієвий LEBRON L-CLIP для стрічки NEON 8х16мм 5см;16.2
13-79-79;Тримач алюмінієвий LEBRON L-CLIP для стрічки NEON 8х16мм 2м;222
13-79-85;Тримач ПВХ LEBRON L-CLIP для стрічки NEON 300° 14мм;7.2
13-80-21;Блок живлення LEBRON L-PS 12V 2A 25W;186
13-80-22;Блок живлення LEBRON L-PS 12V 3A 36W;213
13-80-23;Блок живлення LEBRON L-PS 12V 4A 50W;255
13-80-24;Блок живлення LEBRON L-PS 12V 5A 60W;279
13-80-26;Блок живлення LEBRON L-PS 12V 8.3A 100W;453
13-80-27;Блок живлення LEBRON L-PS 12V 10A 120W;540
13-80-28;Блок живлення LEBRON L-PS 12V 12.5A 150W;528
13-80-29;Блок живлення LEBRON L-PS 12V 16.66A 200W;711
13-80-34;Блок живлення LEBRON L-PS 24V 2.5A 60W;279
13-80-35;Блок живлення LEBRON L-PS 24V 4.15A 100W;453
13-80-37;Блок живлення LEBRON L-PS 24V 7.5A 150W;528
13-80-38;Блок живлення LEBRON L-PS 24V 8.3A 200W;711
13-80-65;Блок живлення LEBRON L-PS LONG 12V 6.66A 80W;468
